年份,院校名称,专业组代码,专业组名称,专业列表,投档分数,投档排位
2024,上海理工大学,11001,上海理工(01),"能源与动力工程, 电子信息工程, 通信工程, 光电信息科学与工程, 计算机科学与技术, 数据科学与大数据技术, 机械设计制造及其自动化, 机器人工程",540,9848
2024,上海理工大学,11002,上海理工(02),"金融学, 会计学",521,14281
2024,上海理工大学,11003,上海理工(03),"工科试验班(智能化制造类), 工科试验班(电子与信息类), 理科试验班, 光电信息科学与工程(中外合作办学)(中德合作), 机械设计制造及其自动化(中外合作办学)(合作高校为德国富特旺根应用技术大学), 机械设计制造及其自动化(中外合作办学)(中英合作), 电子信息科学与技术(中外合作办学)(中英合作), 机械设计制造及其自动化(中外合作办学)(合作高校为德国汉堡应用技术大学), 电气工程及其自动化(中外合作办学)(中德合作)",525,13276
2024,上海理工大学,11004,上海理工(04),"管理科学, 信息管理与信息系统, 工业工程",524,13538
2024,上海理工大学,11005,上海理工(05),"经济管理试验班, 新闻传播学类, 英语, 德语, 日语, 工商管理(中外合作办学)(中英美合作), 工商管理(中外合作办学)(中美合作), 会展经济与管理(中外合作办学)(中英合作), 国际经济与贸易(中外合作办学)(中德合作)",502,19008
2024,上海杉达学院,11101,上海杉达(01),"国际经济与贸易, 金融学, 会计学, 财务管理, 市场营销, 法学, 人力资源管理, 劳动与社会保障, 旅游管理, 酒店管理, 英语, 日语, 西班牙语, 电子商务, 汉语国际教育, 新闻学, 新闻学(传媒经营方向), 网络与新媒体, 时尚传播, 风景园林",430,36436
2024,上海杉达学院,11102,上海杉达(02),"食品质量与安全, 康复治疗学, 计算机科学与技术, 数据科学与大数据技术, 软件工程, 机械电子工程, 建筑电气与智能化, 土木工程, 电气工程与智能控制",423,37882
2024,上海杉达学院,11103,上海杉达(03),护理学,432,36033
2024,上海杉达学院,11104,上海杉达(04),工程管理,429,36629
2024,上海杉达学院,11105,上海杉达(05),"金融学(教学), 金融学(CFA方向), 会计学(双语教学), 财务管理(CIMA方向), 时尚传播(双语教学), 旅游管理(双语教学), 酒店管理(双语教学)",421,38266
2024,华东政法大学,11201,华东政法(01),"法学(卓越民商法律人才实验班), 法学(卓越刑事法律人才实验班), 法学(卓越经济法律人才实验班), 法学(涉外卓越国际金融法律人才实验班), 法学(沪港交流涉外卓越法律人才实验班)",561,5731
2024,华东政法大学,11202,华东政法(02),"法学(民商法方向), 法学(刑事司法方向), 法学(经济法方向), 法学(国际金融法方向), 法学(国际经济法方向), 知识产权(卓越人才实验班), 司法鉴定学",544,8973
2024,华东政法大学,11203,华东政法(03),"经济学类, 公共管理类, 社会学类, 新闻学(卓越人才实验班), 新闻学, 文化产业管理, 网络与新媒体, 汉语言文学, 英语(涉外法商方向), 翻译(涉外法商方向)",524,13538
2024,华东政法大学,11204,华东政法(04),计算机科学与技术(网络安全方向),537,10538
2024,上海外国语大学,11301,上经贸大(01),"国际经济与贸易(全英语), 金融学(全英语)",534,11234
2024,上海外国语大学,11302,上经贸大(02),"国际经济与贸易, 经济学(国际投资方向), 电子商务, 物流管理(中外合作办学), 国际商务(中外合作办学), 国际经济发展合作, 金融学(中外合作办学), 保险学, 投资学, 财务管理, 会计学, 工商管理(国际企业管理方向), 市场营销(国际营销方向), 人力资源管理, 文化产业管理, 会计学(注册会计师方向), 审计学(注册会计师方向), 会展经济与管理(中外合作办学), 旅游管理",512,16483
2024,上海外国语大学,11303,上经贸大(03),"英语(中外合作办学), 英语(商务英语方向), 法语(商务法语方向), 日语(商务日语方向), 法学(商法方向), 新闻学(经济新闻报道方向), 国际经贸规则, 汉语国际教育(商务汉语方向)",512,16483
2024,上海外国语大学,11304,上经贸大(04),"金融工程, 经济统计学, 信息管理与信息系统",519,14753
2024,上海外国语大学,11305,上经贸大(05),"应用统计学, 数据科学与大数据技术, 人工智能",519,14753
2024,复旦大学医学院,11401,复旦医学(01),"临床医学(八年制,卓越医生计划)",580,2684
2024,上海海洋大学,11501,上海海大(01),"水产类, 生物科学类, 海洋资源与环境, 环境科学与工程, 生态学, 海洋科学",492,21473
2024,上海海洋大学,11502,上海海大(02),"食品科学与工程类, 建筑环境与能源应用工程, 能源与动力工程, 包装工程, 生物制药",494,20956
2024,上海海洋大学,11503,上海海大(03),"计算机类, 人工智能, 机器人工程, 测控技术与仪器, 机械设计制造及其自动化, 电气工程及其自动化, 工业工程",504,18539
2024,上海海洋大学,11504,上海海大(04),"农林经济管理, 国际经济与贸易, 会计学, 金融学, 物流管理, 工商管理(食品经济管理方向), 行政管理, 社会工作, 英语, 日语",486,23040
2024,上海海洋大学,11505,上海海大(05),信息管理与信息系统(中外合作办学),488,22514
2024,上海海洋大学,11506,上海海大(06),市场营销(中外合作办学),481,24337
2024,上海戏剧学院,11601,上海戏剧(01),"戏剧影视文学, 戏剧影视导演, 戏剧学, 戏剧教育, 艺术管理, 广播电视编导, 影视摄影与制作",526,13085
2024,上海电力大学,11701,上海电力(01),"电气工程及其自动化, 能源与动力工程",527,12860
2024,上海电力大学,11702,上海电力(02),"能源与动力工程, 机械设计制造及其自动化, 新能源科学与工程, 储能科学与工程, 能源互联网工程, 电气工程及其自动化(中外合作办学), 自动化, 测控技术与仪器, 核能科学与技术, 计算机科学与技术, 软件工程, 信息安全, 数据科学与大数据技术, 通信工程, 电子信息工程, 光电信息科学与工程, 集成电路设计与集成系统, 能源服务工程, 信息与计算科学, 应用物理学",494,20956
2024,上海电力大学,11703,上海电力(03),"环境工程, 化学工程与工艺, 应用化学, 新能源材料与器件",484,23553
2024,上海电力大学,11704,上海电力(04),"工程管理, 信息管理与信息系统",489,22270
2024,上海电力大学,11705,上海电力(05),"工商管理, 国际经济与贸易, 经济学, 英语",472,26492
2024,上海音乐学院,11801,上海音乐(01),艺术管理,497,20203
2024,上海音乐学院,11802,上海音乐(02),艺术与科技(音乐科技与艺术方向),499,19729
2024,上海大学,11901,上海大学(01),"理科试验班(钱伟长学院培养), 电子信息类(未来技术学院), 数学与应用数学, 智能制造工程, 电子信息工程, 通信工程, 微电子科学与工程, 人工智能, 计算机科学与技术, 数据科学与大数据技术, 网络空间安全",555,6832
2024,上海大学,11902,上海大学(02),"电气类, 材料类, 电子信息类, 通信工程(卓越工程师班), 机械工程, 材料科学与工程(中外合作办学), 信息工程(中外合作办学), 电气工程及其自动化(中外合作办学), 土木工程(中外合作办学), 环境工程(中外合作办学)",538,10306
2024,上海大学,11903,上海大学(03),"经济学类, 金融学, 会计学",537,10538
2024,上海大学,11904,上海大学(04),"社会学类, 英语, 法语, 日语",540,9848
2024,上海交通大学医学院,12001,交大医学(01),"临床医学(八年制本博连读方向), 临床医学(八年制本博连读法语班), 临床医学(八年制本博连读口腔方向)",580,2684
2024,上海中医药大学,12101,上海中医(01),"中医学(5+3一体化), 中医学(5+3一体化针灸推拿英语方向), 中医学(5+3一体化汇聚创新班)",557,6458
2024,上海中医药大学,12102,上海中医(02),中药学(创新班),554,7021
